model,seed,best_epoch,training_time_s,param_count,test_mae_mw,test_mse_mw2,test_rmse_mw,test_r2,test_mape_pct
Naive-24,42,0,0.0,0,285.19403076171875,151213.96875,388.8624033639663,0.8274146914482117,5.310493469238281
Standalone_GRU,42,18,8.593709707260132,31344,288.74505615234375,156778.75,395.95296437834634,0.8210633993148804,5.349551677703857
Standalone_TCN,42,12,14.632729768753052,44870,244.7780303955078,104410.578125,323.126257250939,0.880832850933075,4.4727888107299805
Standalone_Patch,42,8,4.189971446990967,63624,273.618896484375,141480.265625,376.13862554249863,0.8385240435600281,5.056303024291992
Static_Equal_Ensemble,42,0,0.0,0,239.95608520507812,106524.2890625,326.38058928572946,0.8784204125404358,4.410741329193115
Internal_GRU,42,5,16.245727699999406,0,441.7255859375,350809.3702019602,592.2916259765625,0.5996100902557373,8.151111602783203
Internal_TCN,42,5,16.245727699999406,0,328.5297546386719,192642.2056262577,438.9102478027344,0.7801312804222107,6.1033525466918945
Internal_Patch,42,5,16.245727699999406,0,282.2633972167969,151082.78858589474,388.6936950683594,0.8275643587112427,5.176334381103516
Internal_Equal_Ensemble,42,5,16.245727699999406,0,277.3560791015625,137983.88558227662,371.4618225097656,0.8425146341323853,5.1033616065979
CAEG_Net_V2_Full,42,5,16.245727699999406,142433,243.7825927734375,111071.06209472194,333.27325439453125,0.873231053352356,4.467957496643066
Naive-24,43,0,0.0,0,285.19403076171875,151213.96875,388.8624033639663,0.8274146914482117,5.310493469238281
Standalone_GRU,43,14,7.0537121295928955,31344,280.8016662597656,145955.515625,382.04124859103894,0.8334163427352905,5.245390892028809
Standalone_TCN,43,14,15.832143545150757,44870,250.3109130859375,111921.3125,334.54642801859353,0.8722606301307678,4.580156326293945
Standalone_Patch,43,7,3.7433481216430664,63624,263.07781982421875,131181.671875,362.190104606683,0.8502781391143799,4.849274635314941
Static_Equal_Ensemble,43,0,0.0,0,238.5558319091797,109378.84375,330.72472503579166,0.8751624226570129,4.386667728424072
Internal_GRU,43,6,19.920107500001905,0,449.69757080078125,367329.06595410407,606.0767822265625,0.5807556509971619,8.293091773986816
Internal_TCN,43,6,19.920107500001905,0,310.6992492675781,170360.27001198474,412.7472229003906,0.8055623769760132,5.774429798126221
Internal_Patch,43,6,19.920107500001905,0,271.76043701171875,136809.00560403243,369.87701416015625,0.8438555002212524,5.0817413330078125
Internal_Equal_Ensemble,43,6,19.920107500001905,0,259.15167236328125,120862.66137176752,347.653076171875,0.8620555996894836,4.798366069793701
CAEG_Net_V2_Full,43,6,19.920107500001905,142433,231.8920440673828,102002.37893119827,319.37811279296875,0.8835813999176025,4.302156925201416
Naive-24,44,0,0.0,0,285.19403076171875,151213.96875,388.8624033639663,0.8274146914482117,5.310493469238281
Standalone_GRU,44,17,9.92772364616394,31344,267.6759338378906,134750.0,367.08309685955305,0.8462055325508118,4.954142093658447
Standalone_TCN,44,7,13.879807233810425,44870,250.79617309570312,112127.078125,334.8538160526172,0.8720257878303528,4.627004146575928
Standalone_Patch,44,17,8.386529445648193,63624,258.67822265625,123900.453125,351.9949617892279,0.858588457107544,4.781667709350586
Static_Equal_Ensemble,44,0,0.0,0,234.25244140625,103968.2109375,322.4410193159363,0.8813377618789673,4.306666851043701
Internal_GRU,44,9,27.752649900001416,0,355.92950439453125,245347.04911136627,495.3251953125,0.7199775576591492,6.450870513916016
Internal_TCN,44,9,27.752649900001416,0,299.9317321777344,149909.93004921917,387.1820373535156,0.8289030194282532,5.506392002105713
Internal_Patch,44,9,27.752649900001416,0,259.1050720214844,125044.4678038396,353.61627197265625,0.8572827577590942,4.776730537414551
Internal_Equal_Ensemble,44,9,27.752649900001416,0,258.0749816894531,122297.7398071289,349.7109375,0.8604176640510559,4.683635234832764
CAEG_Net_V2_Full,44,9,27.752649900001416,142433,240.55636596679688,106591.23011268768,326.4831237792969,0.8783440589904785,4.408029556274414
Naive-24,45,0,0.0,0,285.19403076171875,151213.96875,388.8624033639663,0.8274146914482117,5.310493469238281
Standalone_GRU,45,16,9.054901123046875,31344,287.2314147949219,153161.203125,391.3581519848539,0.8251922130584717,5.331057071685791
Standalone_TCN,45,7,13.210540771484375,44870,252.33676147460938,110429.546875,332.3094143640833,0.8739632368087769,4.728245735168457
Standalone_Patch,45,18,8.758062601089478,63624,265.2979431152344,128025.5703125,357.8066102135342,0.8538803458213806,4.936007022857666
Static_Equal_Ensemble,45,0,0.0,0,240.05784606933594,104395.421875,323.10280387981777,0.8808501958847046,4.463430881500244
Internal_GRU,45,18,33.428960400000506,0,320.34417724609375,212954.646524325,461.4700927734375,0.7569480538368225,5.839107513427734
Internal_TCN,45,18,33.428960400000506,0,289.9786376953125,145502.52865049616,381.44793701171875,0.8339332938194275,5.344631671905518
Internal_Patch,45,18,33.428960400000506,0,276.7908935546875,137817.81614828482,371.23822021484375,0.8427041172981262,5.151162624359131
Internal_Equal_Ensemble,45,18,33.428960400000506,0,245.1087646484375,114766.75961262081,338.7724304199219,0.8690130114555359,4.4706807136535645
CAEG_Net_V2_Full,45,18,33.428960400000506,142433,244.84112548828125,110190.08122310415,331.94891357421875,0.874236524105072,4.5063886642456055
Naive-24,46,0,0.0,0,285.19403076171875,151213.96875,388.8624033639663,0.8274146914482117,5.310493469238281
Standalone_GRU,46,15,7.986529350280762,31344,273.7789306640625,144634.984375,380.30906428193373,0.834923505783081,5.081335544586182
Standalone_TCN,46,8,12.821211338043213,44870,252.14828491210938,113075.5,336.26700700485026,0.8709433078765869,4.6106133460998535
Standalone_Patch,46,20,9.450287103652954,63624,266.7770080566406,126891.4140625,356.2182113010226,0.8551747798919678,4.966477394104004
Static_Equal_Ensemble,46,0,0.0,0,234.5159454345703,103567.9296875,321.8197161261255,0.8817946314811707,4.3185529708862305
Internal_GRU,46,10,32.79511640000055,0,375.234619140625,266259.9052877575,516.0037841796875,0.6961090564727783,6.781294345855713
Internal_TCN,46,10,32.79511640000055,0,301.64910888671875,157366.56565104518,396.6945495605469,0.8203924894332886,5.604796886444092
Internal_Patch,46,10,32.79511640000055,0,270.2658996582031,136120.91383947432,368.9456787109375,0.844640851020813,5.022465229034424
Internal_Equal_Ensemble,46,10,32.79511640000055,0,253.70001220703125,120263.54285690561,346.79034423828125,0.8627393841743469,4.631928443908691
CAEG_Net_V2_Full,46,10,32.79511640000055,142433,237.25535583496094,103101.09829904977,321.0935974121094,0.8823274374008179,4.385242462158203
Naive-24_MeanAcrossSeeds,All,0,0.0,0,285.19403076171875,151213.96875,388.8624033639663,0.8274146914482117,5.310493469238281
Standalone_GRU_MeanAcrossSeeds,All,16,8.523315191268921,31344,279.6466003417969,147056.090625,383.3489052191452,0.8321601986885071,5.1922954559326175
Standalone_TCN_MeanAcrossSeeds,All,10,14.075286531448365,44870,250.07403259277345,110392.803125,332.22058453821666,0.8740051627159119,4.603761672973633
Standalone_Patch_MeanAcrossSeeds,All,14,6.905639743804931,63624,265.48997802734374,130295.875,360.8697026905933,0.8512891530990601,4.9179459571838375
Static_Equal_Ensemble_MeanAcrossSeeds,All,0,0.0,0,237.4676300048828,105566.9390625,324.8937707286801,0.8795130848884583,4.377211952209473
